id,lng,lat,nama_desa,curah_hujan,kemiringan,banjir_histori,claster
291,122.9541172,0.7336715,Bintauna,2836,2,4,Tinggi
292,123.5675898,0.8925974,Bintauna Pantai,2895,2,4,Tinggi
293,123.5541418,0.8790284,Bunia,2788,2,4,Tinggi
294,122.8639187,0.7333855,Bunong,2137,1,3,Rendah
295,123.2679788,0.7104693,Huntuk,2496,2,2,Sedang
296,123.3218733,0.7552466,Kopi,2558,3,4,Tinggi
297,123.5095993,0.8781118,Kuhanga,2194,1,4,Rendah
298,123.5342401,0.8901131,Minanga,2733,2,4,Tinggi
299,123.2324598,0.7244381,Mome,2681,1,2,Sedang
300,123.5447689,0.8808049,Padang,2649,2,3,Tinggi
301,123.5033082,0.8630317,Padang Barat,2775,2,3,Tinggi
302,123.5125886,0.8650231,Pimpi,2846,1,3,Tinggi
303,123.5384006,0.8841129,Talaga,2559,2,4,Tinggi
304,123.5403428,0.8777283,Vahuta,1998,1,2,Rendah
305,123.5291001,0.8836799,Voa’a,2679,1,3,Tinggi
306,123.7027682,0.8577776,Apeng Sembaka,1882,2,2,Rendah
307,123.60204,0.8737545,Busisingo,3195,3,4,Tinggi
308,123.5788617,0.8975299,Busisingo Utara,2937,3,3,Tinggi
309,123.596064,0.8983179,Mokusato,3117,2,4,Tinggi
310,123.0679893,0.8807598,Monompia,2974,1,3,Tinggi
311,123.563682,0.8426913,Pangkusa,2633,2,3,Tinggi
312,123.6264601,0.8687211,Sampiro,2771,4,3,Tinggi
313,123.5334105,0.8477859,Sangtombolang,2397,8,2,Sedang
314,123.5816367,0.8724071,Sangkub I,2669,3,3,Tinggi
315,123.5721502,0.8733711,Sangkub II,2877,7,3,Tinggi
316,123.5969271,0.8783676,Sangkub III,3119,1,3,Tinggi
317,123.6297446,0.8853178,Sangkub IV,3177,7,3,Tinggi
318,123.6516328,0.877609,Sangkub Timur,2738,3,4,Tinggi
319,123.5740085,0.8434258,Sidodadi,2688,5,3,Tinggi
320,123.5036874,0.8799445,Suka Makmur,2994,6,4,Tinggi
321,123.4569718,0.8588704,Tombolango,3079,4,4,Tinggi
322,123.1251358,0.8940865,Batubantayo,2558,7,4,Tinggi
323,123.165318,0.8964744,Batutajam,2642,3,0,Sedang
324,123.1366502,0.9203082,Buko,2588,5,1,Sedang
325,123.1008937,0.9103633,Buko Selatan,3022,8,5,Tinggi
326,123.1327501,0.9213702,Buko Utara,2697,10,1,Sedang
327,123.1274686,0.8757991,Busato,2504,6,3,Tinggi
328,123.1103405,0.9028503,Dalapuli,2498,8,1,Sedang
329,123.1057031,0.9071478,Dalapuli Barat,2511,3,2,Sedang
330,123.1142117,0.8991006,Dalapuli Timur,2618,4,1,Sedang
331,123.1035262,0.8936166,Dengi,2671,1,2,Sedang
332,123.0476425,0.8791003,Duini,2640,7,3,Tinggi
333,123.0958926,0.8876956,Kayuogu,2677,6,2,Sedang
334,123.1551936,0.9275295,Komus I,2664,2,0,Sedang
335,123.1272778,0.8902523,Padango,2853,8,4,Tinggi
336,123.1220655,0.9212744,Tambulang Pantai,2549,4,3,Tinggi
337,123.0582443,0.9095261,Tambulang Timur,2737,9,2,Sedang
338,123.1381281,0.9428426,Tanjung Sidupa,2693,4,1,Sedang
339,123.1064602,0.9180999,Tombulang,2774,7,4,Tinggi
340,123.1017288,0.9045159,Tontulow,2842,5,4,Tinggi
341,123.0991088,0.9165089,Tontulow Utara,3105,3,5,Tinggi
342,123.0528483,0.8665408,Tuntung,2594,6,3,Tinggi
343,123.0647633,0.8594453,Tuntung Timur,2764,3,2,Sedang
344,123.2484701,0.9025119,Bigo,2681,75,3,Tinggi
345,123.2656848,0.9011417,Bigo Selatan,2594,2,2,Sedang
346,123.2464918,0.9036907,Boroko,3153,8,5,Tinggi
347,123.2506512,0.9099043,Boroko Timur,2677,9,3,Tinggi
348,123.2686414,0.9129773,Boroko Utara,2569,2,4,Tinggi
349,123.2702232,0.8788547,Gihang,2683,3,3,Tinggi
350,123.1996546,0.913876,Inomunga,2958,8,6,Tinggi
351,123.1991956,0.9315961,Inomunga Utara,2732,7,2,Sedang
352,123.2284061,0.9056832,Komus II Timur,2684,9,0,Sedang
353,123.1639056,0.9119767,Komus II,2749,7,0,Sedang
354,123.2615798,0.9080643,Kuala,2843,0,4,Tinggi
355,123.2600172,0.9009579,Kuala Utara,2759,2,3,Tinggi
356,123.271289,0.8681385,Pontak,2638,2,3,Tinggi
357,123.1187518,0.8461684,Soligir,2648,2,2,Sedang
358,123.1787332,0.9416426,Solo,2594,6,3,Tinggi
359,123.3009496,0.9038044,Bolangitang,3174,4,4,Tinggi
360,123.2995221,0.9080314,Bolangitang I,2738,2,3,Tinggi
361,123.2882971,0.9084274,Bolangitang II,2833,2,4,Tinggi
362,123.2870971,0.9007646,Iyok,2774,4,2,Sedang
363,123.2635361,0.8869446,Jambu Sarang,2697,2,4,Tinggi
364,123.3243915,0.8665984,Keimanga,2816,3,3,Tinggi
365,123.2983593,0.8991609,Langi,2973,3,2,Sedang
366,122.9621193,0.7928829,Ollot,2851,2,4,Tinggi
367,123.2731421,0.8723041,Ollot I,2796,2,3,Tinggi
368,123.0226938,0.7800652,Olllot II,2868,2,3,Tinggi
369,123.3194606,0.8587119,Paku,2677,7,2,Sedang
370,122.9833958,0.7775217,Paku Selatan,2784,5,2,Sedang
371,123.2701102,0.8789711,Sonuo,2982,4,4,Tinggi
372,123.2929156,0.9049228,Talaga,2771,2,3,Tinggi
373,123.2562267,0.8899956,Talaga Tomoagu,2675,2,3,Tinggi
374,123.3323268,0.9095774,Tanjung Buaya,2663,7,2,Sedang
375,123.2598784,0.8956402,Tote,2845,6,2,Sedang
376,123.0465348,0.7818581,Wakat,3097,8,4,Tinggi
377,123.1450408,0.7611374,Binjeita,2857,4,3,Tinggi
378,123.1351108,0.7606619,Binjeita I,2774,3,3,Tinggi
379,123.4525148,0.8885914,Binjeita II,2741,2,2,Sedang
380,123.0915928,0.7726113,Binuanga,2589,8,1,Sedang
381,123.4854829,0.882902,Binuni,2693,6,2,Sedang
382,123.1587704,0.7577284,Biontong,2847,2,3,Tinggi
383,123.1855262,0.7873105,Biontong I,2849,3,4,Tinggi
384,123.1730483,0.7530341,Biontong II,2791,2,2,Sedang
385,123.1208733,0.761598,Bohabak I,2589,2,2,Sedang
386,123.4101856,0.8925571,Bohabak II,2697,2,3,Tinggi
387,123.4199192,0.8764826,Bohabak III,2577,3,2,Sedang
388,123.1092923,0.7672229,Bohabak IV,2638,4,2,Sedang
389,123.4963053,0.8804917,Lipu Bogu,2638,4,4,Tinggi
390,123.3348136,0.9002765,Moditek,1967,7,1,Rendah
391,123.299622,0.8706228,Mokoditek I,2088,6,1,Rendah
392,123.3721955,0.8876845,Nagara,2382,5,1,Sedang
393,123.2295368,0.8663548,Nunuka,2101,5,3,Rendah
394,123.0659497,0.7695688,Saleo,2470,5,2,Sedang
395,123.4099003,0.7837536,Saleo I,2734,4,2,Sedang
396,123.4410907,0.9040152,Tanjung Labuo,2033,2,2,Rendah
397,123.5399762,0.8854939,Batulintik,2673,2,4,Tinggi
398,122.9541172,0.7336715,Bintauna,2836,2,4,Tinggi
399,123.5675898,0.8925974,Bintauna Pantai,2895,2,4,Tinggi
400,123.5541418,0.8790284,Bunia,2788,2,4,Tinggi
401,122.8639187,0.7333855,Bunong,2137,1,3,Rendah
402,123.2679788,0.7104693,Huntuk,2496,2,2,Sedang
403,123.3218733,0.7552466,Kopi,2558,3,4,Tinggi
404,123.5095993,0.8781118,Kuhanga,2194,1,4,Rendah
405,123.5342401,0.8901131,Minanga,2733,2,4,Tinggi
406,123.2324598,0.7244381,Mome,2681,1,2,Sedang
407,123.5447689,0.8808049,Padang,2649,2,3,Tinggi
408,123.5033082,0.8630317,Padang Barat,2775,2,3,Tinggi
409,123.5125886,0.8650231,Pimpi,2846,1,3,Tinggi
410,123.5384006,0.8841129,Talaga,2559,2,4,Tinggi
411,123.5403428,0.8777283,Vahuta,1998,1,2,Rendah
412,123.5291001,0.8836799,Voa’a,2679,1,3,Tinggi
413,123.7027682,0.8577776,Apeng Sembaka,1882,2,2,Rendah
414,123.60204,0.8737545,Busisingo,3195,3,4,Tinggi
415,123.5788617,0.8975299,Busisingo Utara,2937,3,3,Tinggi
416,123.596064,0.8983179,Mokusato,3117,2,4,Tinggi
417,123.0679893,0.8807598,Monompia,2974,1,3,Tinggi
418,123.563682,0.8426913,Pangkusa,2633,2,3,Tinggi
419,123.6264601,0.8687211,Sampiro,2771,4,3,Tinggi
420,123.5334105,0.8477859,Sangtombolang,2397,8,2,Sedang
421,123.5816367,0.8724071,Sangkub I,2669,3,3,Tinggi
422,123.5721502,0.8733711,Sangkub II,2877,7,3,Tinggi
423,123.5969271,0.8783676,Sangkub III,3119,1,3,Tinggi
424,123.6297446,0.8853178,Sangkub IV,3177,7,3,Tinggi
425,123.6516328,0.877609,Sangkub Timur,2738,3,4,Tinggi
426,123.5740085,0.8434258,Sidodadi,2688,5,3,Tinggi
427,123.5036874,0.8799445,Suka Makmur,2994,6,4,Tinggi
428,123.4569718,0.8588704,Tombolango,3079,4,4,Tinggi
429,123.1251358,0.8940865,Batubantayo,2558,7,4,Tinggi
430,123.165318,0.8964744,Batutajam,2642,3,0,Sedang
431,123.1366502,0.9203082,Buko,2588,5,1,Sedang
432,123.1008937,0.9103633,Buko Selatan,3022,8,5,Tinggi
433,123.1327501,0.9213702,Buko Utara,2697,10,1,Sedang
434,123.1274686,0.8757991,Busato,2504,6,3,Tinggi
435,123.1103405,0.9028503,Dalapuli,2498,8,1,Sedang
436,123.1057031,0.9071478,Dalapuli Barat,2511,3,2,Sedang
437,123.1142117,0.8991006,Dalapuli Timur,2618,4,1,Sedang
438,123.1035262,0.8936166,Dengi,2671,1,2,Sedang
439,123.0476425,0.8791003,Duini,2640,7,3,Tinggi
440,123.0958926,0.8876956,Kayuogu,2677,6,2,Sedang
441,123.1551936,0.9275295,Komus I,2664,2,0,Sedang
442,123.1272778,0.8902523,Padango,2853,8,4,Tinggi
443,123.1220655,0.9212744,Tambulang Pantai,2549,4,3,Tinggi
444,123.0582443,0.9095261,Tambulang Timur,2737,9,2,Sedang
445,123.1381281,0.9428426,Tanjung Sidupa,2693,4,1,Sedang
446,123.1064602,0.9180999,Tombulang,2774,7,4,Tinggi
447,123.1017288,0.9045159,Tontulow,2842,5,4,Tinggi
448,123.0991088,0.9165089,Tontulow Utara,3105,3,5,Tinggi
449,123.0528483,0.8665408,Tuntung,2594,6,3,Tinggi
450,123.0647633,0.8594453,Tuntung Timur,2764,3,2,Sedang
451,123.2484701,0.9025119,Bigo,2681,75,3,Tinggi
452,123.2656848,0.9011417,Bigo Selatan,2594,2,2,Sedang
453,123.2464918,0.9036907,Boroko,3153,8,5,Tinggi
454,123.2506512,0.9099043,Boroko Timur,2677,9,3,Tinggi
455,123.2686414,0.9129773,Boroko Utara,2569,2,4,Tinggi
456,123.2702232,0.8788547,Gihang,2683,3,3,Tinggi
457,123.1996546,0.913876,Inomunga,2958,8,6,Tinggi
458,123.1991956,0.9315961,Inomunga Utara,2732,7,2,Sedang
459,123.2284061,0.9056832,Komus II Timur,2684,9,0,Sedang
460,123.1639056,0.9119767,Komus II,2749,7,0,Sedang
461,123.2615798,0.9080643,Kuala,2843,0,4,Tinggi
462,123.2600172,0.9009579,Kuala Utara,2759,2,3,Tinggi
463,123.271289,0.8681385,Pontak,2638,2,3,Tinggi
464,123.1187518,0.8461684,Soligir,2648,2,2,Sedang
465,123.1787332,0.9416426,Solo,2594,6,3,Tinggi
466,123.3009496,0.9038044,Bolangitang,3174,4,4,Tinggi
467,123.2995221,0.9080314,Bolangitang I,2738,2,3,Tinggi
468,123.2882971,0.9084274,Bolangitang II,2833,2,4,Tinggi
469,123.2870971,0.9007646,Iyok,2774,4,2,Sedang
470,123.2635361,0.8869446,Jambu Sarang,2697,2,4,Tinggi
471,123.3243915,0.8665984,Keimanga,2816,3,3,Tinggi
472,123.2983593,0.8991609,Langi,2973,3,2,Sedang
473,122.9621193,0.7928829,Ollot,2851,2,4,Tinggi
474,123.2731421,0.8723041,Ollot I,2796,2,3,Tinggi
475,123.0226938,0.7800652,Olllot II,2868,2,3,Tinggi
476,123.3194606,0.8587119,Paku,2677,7,2,Sedang
477,122.9833958,0.7775217,Paku Selatan,2784,5,2,Sedang
478,123.2701102,0.8789711,Sonuo,2982,4,4,Tinggi
479,123.2929156,0.9049228,Talaga,2771,2,3,Tinggi
480,123.2562267,0.8899956,Talaga Tomoagu,2675,2,3,Tinggi
481,123.3323268,0.9095774,Tanjung Buaya,2663,7,2,Sedang
482,123.2598784,0.8956402,Tote,2845,6,2,Sedang
483,123.0465348,0.7818581,Wakat,3097,8,4,Tinggi
484,123.1450408,0.7611374,Binjeita,2857,4,3,Tinggi
485,123.1351108,0.7606619,Binjeita I,2774,3,3,Tinggi
486,123.4525148,0.8885914,Binjeita II,2741,2,2,Sedang
487,123.0915928,0.7726113,Binuanga,2589,8,1,Sedang
488,123.4854829,0.882902,Binuni,2693,6,2,Sedang
489,123.1587704,0.7577284,Biontong,2847,2,3,Tinggi
490,123.1855262,0.7873105,Biontong I,2849,3,4,Tinggi
491,123.1730483,0.7530341,Biontong II,2791,2,2,Sedang
492,123.1208733,0.761598,Bohabak I,2589,2,2,Sedang
493,123.4101856,0.8925571,Bohabak II,2697,2,3,Tinggi
494,123.4199192,0.8764826,Bohabak III,2577,3,2,Sedang
495,123.1092923,0.7672229,Bohabak IV,2638,4,2,Sedang
496,123.4963053,0.8804917,Lipu Bogu,2638,4,4,Tinggi
497,123.3348136,0.9002765,Moditek,1967,7,1,Rendah
498,123.299622,0.8706228,Mokoditek I,2088,6,1,Rendah
499,123.3721955,0.8876845,Nagara,2382,5,1,Sedang
500,123.2295368,0.8663548,Nunuka,2101,5,3,Rendah
501,123.0659497,0.7695688,Saleo,2470,5,2,Sedang
502,123.4099003,0.7837536,Saleo I,2734,4,2,Sedang
503,123.4410907,0.9040152,Tanjung Labuo,2033,2,2,Rendah
504,123.5399762,0.8854939,Batulintik,2673,2,4,Tinggi
505,122.9541172,0.7336715,Bintauna,2836,2,4,Tinggi
506,123.5675898,0.8925974,Bintauna Pantai,2895,2,4,Tinggi
507,123.5541418,0.8790284,Bunia,2788,2,4,Tinggi
508,122.8639187,0.7333855,Bunong,2137,1,3,Rendah
509,123.2679788,0.7104693,Huntuk,2496,2,2,Sedang
510,123.3218733,0.7552466,Kopi,2558,3,4,Tinggi
511,123.5095993,0.8781118,Kuhanga,2194,1,4,Rendah
512,123.5342401,0.8901131,Minanga,2733,2,4,Tinggi
513,123.2324598,0.7244381,Mome,2681,1,2,Sedang
514,123.5447689,0.8808049,Padang,2649,2,3,Tinggi
515,123.5033082,0.8630317,Padang Barat,2775,2,3,Tinggi
516,123.5125886,0.8650231,Pimpi,2846,1,3,Tinggi
517,123.5384006,0.8841129,Talaga,2559,2,4,Tinggi
518,123.5403428,0.8777283,Vahuta,1998,1,2,Rendah
519,123.5291001,0.8836799,Voa’a,2679,1,3,Tinggi
520,123.7027682,0.8577776,Apeng Sembaka,1882,2,2,Rendah
521,123.60204,0.8737545,Busisingo,3195,3,4,Tinggi
522,123.5788617,0.8975299,Busisingo Utara,2937,3,3,Tinggi
523,123.596064,0.8983179,Mokusato,3117,2,4,Tinggi
524,123.0679893,0.8807598,Monompia,2974,1,3,Tinggi
525,123.563682,0.8426913,Pangkusa,2633,2,3,Tinggi
526,123.6264601,0.8687211,Sampiro,2771,4,3,Tinggi
527,123.5334105,0.8477859,Sangtombolang,2397,8,2,Sedang
528,123.5816367,0.8724071,Sangkub I,2669,3,3,Tinggi
529,123.5721502,0.8733711,Sangkub II,2877,7,3,Tinggi
530,123.5969271,0.8783676,Sangkub III,3119,1,3,Tinggi
531,123.6297446,0.8853178,Sangkub IV,3177,7,3,Tinggi
532,123.6516328,0.877609,Sangkub Timur,2738,3,4,Tinggi
533,123.5740085,0.8434258,Sidodadi,2688,5,3,Tinggi
534,123.5036874,0.8799445,Suka Makmur,2994,6,4,Tinggi
535,123.4569718,0.8588704,Tombolango,3079,4,4,Tinggi
536,123.1251358,0.8940865,Batubantayo,2558,7,4,Tinggi
537,123.165318,0.8964744,Batutajam,2642,3,0,Sedang
538,123.1366502,0.9203082,Buko,2588,5,1,Sedang
539,123.1008937,0.9103633,Buko Selatan,3022,8,5,Tinggi
540,123.1327501,0.9213702,Buko Utara,2697,10,1,Sedang
541,123.1274686,0.8757991,Busato,2504,6,3,Tinggi
542,123.1103405,0.9028503,Dalapuli,2498,8,1,Sedang
543,123.1057031,0.9071478,Dalapuli Barat,2511,3,2,Sedang
544,123.1142117,0.8991006,Dalapuli Timur,2618,4,1,Sedang
545,123.1035262,0.8936166,Dengi,2671,1,2,Sedang
546,123.0476425,0.8791003,Duini,2640,7,3,Tinggi
547,123.0958926,0.8876956,Kayuogu,2677,6,2,Sedang
548,123.1551936,0.9275295,Komus I,2664,2,0,Sedang
549,123.1272778,0.8902523,Padango,2853,8,4,Tinggi
550,123.1220655,0.9212744,Tambulang Pantai,2549,4,3,Tinggi
551,123.0582443,0.9095261,Tambulang Timur,2737,9,2,Sedang
552,123.1381281,0.9428426,Tanjung Sidupa,2693,4,1,Sedang
553,123.1064602,0.9180999,Tombulang,2774,7,4,Tinggi
554,123.1017288,0.9045159,Tontulow,2842,5,4,Tinggi
555,123.0991088,0.9165089,Tontulow Utara,3105,3,5,Tinggi
556,123.0528483,0.8665408,Tuntung,2594,6,3,Tinggi
557,123.0647633,0.8594453,Tuntung Timur,2764,3,2,Sedang
558,123.2484701,0.9025119,Bigo,2681,75,3,Tinggi
559,123.2656848,0.9011417,Bigo Selatan,2594,2,2,Sedang
560,123.2464918,0.9036907,Boroko,3153,8,5,Tinggi
561,123.2506512,0.9099043,Boroko Timur,2677,9,3,Tinggi
562,123.2686414,0.9129773,Boroko Utara,2569,2,4,Tinggi
563,123.2702232,0.8788547,Gihang,2683,3,3,Tinggi
564,123.1996546,0.913876,Inomunga,2958,8,6,Tinggi
565,123.1991956,0.9315961,Inomunga Utara,2732,7,2,Sedang
566,123.2284061,0.9056832,Komus II Timur,2684,9,0,Sedang
567,123.1639056,0.9119767,Komus II,2749,7,0,Sedang
568,123.2615798,0.9080643,Kuala,2843,0,4,Tinggi
569,123.2600172,0.9009579,Kuala Utara,2759,2,3,Tinggi
570,123.271289,0.8681385,Pontak,2638,2,3,Tinggi
571,123.1187518,0.8461684,Soligir,2648,2,2,Sedang
572,123.1787332,0.9416426,Solo,2594,6,3,Tinggi
573,123.3009496,0.9038044,Bolangitang,3174,4,4,Tinggi
574,123.2995221,0.9080314,Bolangitang I,2738,2,3,Tinggi
575,123.2882971,0.9084274,Bolangitang II,2833,2,4,Tinggi
576,123.2870971,0.9007646,Iyok,2774,4,2,Sedang
577,123.2635361,0.8869446,Jambu Sarang,2697,2,4,Tinggi
578,123.3243915,0.8665984,Keimanga,2816,3,3,Tinggi
579,123.2983593,0.8991609,Langi,2973,3,2,Sedang
580,122.9621193,0.7928829,Ollot,2851,2,4,Tinggi
581,123.2731421,0.8723041,Ollot I,2796,2,3,Tinggi
582,123.0226938,0.7800652,Olllot II,2868,2,3,Tinggi
583,123.3194606,0.8587119,Paku,2677,7,2,Sedang
584,122.9833958,0.7775217,Paku Selatan,2784,5,2,Sedang
585,123.2701102,0.8789711,Sonuo,2982,4,4,Tinggi
586,123.2929156,0.9049228,Talaga,2771,2,3,Tinggi
587,123.2562267,0.8899956,Talaga Tomoagu,2675,2,3,Tinggi
588,123.3323268,0.9095774,Tanjung Buaya,2663,7,2,Sedang
589,123.2598784,0.8956402,Tote,2845,6,2,Sedang
590,123.0465348,0.7818581,Wakat,3097,8,4,Tinggi
591,123.1450408,0.7611374,Binjeita,2857,4,3,Tinggi
592,123.1351108,0.7606619,Binjeita I,2774,3,3,Tinggi
593,123.4525148,0.8885914,Binjeita II,2741,2,2,Sedang
594,123.0915928,0.7726113,Binuanga,2589,8,1,Sedang
595,123.4854829,0.882902,Binuni,2693,6,2,Sedang
596,123.1587704,0.7577284,Biontong,2847,2,3,Tinggi
597,123.1855262,0.7873105,Biontong I,2849,3,4,Tinggi
598,123.1730483,0.7530341,Biontong II,2791,2,2,Sedang
599,123.1208733,0.761598,Bohabak I,2589,2,2,Sedang
600,123.4101856,0.8925571,Bohabak II,2697,2,3,Tinggi
601,123.4199192,0.8764826,Bohabak III,2577,3,2,Sedang
602,123.1092923,0.7672229,Bohabak IV,2638,4,2,Sedang
603,123.4963053,0.8804917,Lipu Bogu,2638,4,4,Tinggi
604,123.3348136,0.9002765,Moditek,1967,7,1,Rendah
605,123.299622,0.8706228,Mokoditek I,2088,6,1,Rendah
606,123.3721955,0.8876845,Nagara,2382,5,1,Sedang
607,123.2295368,0.8663548,Nunuka,2101,5,3,Rendah
608,123.0659497,0.7695688,Saleo,2470,5,2,Sedang
609,123.4099003,0.7837536,Saleo I,2734,4,2,Sedang
610,123.4410907,0.9040152,Tanjung Labuo,2033,2,2,Rendah
611,123.5399762,0.8854939,Batulintik,2673,2,4,Tinggi
612,122.9541172,0.7336715,Bintauna,2836,2,4,Tinggi
613,123.5675898,0.8925974,Bintauna Pantai,2895,2,4,Tinggi
614,123.5541418,0.8790284,Bunia,2788,2,4,Tinggi
615,122.8639187,0.7333855,Bunong,2137,1,3,Rendah
616,123.2679788,0.7104693,Huntuk,2496,2,2,Sedang
617,123.3218733,0.7552466,Kopi,2558,3,4,Tinggi
618,123.5095993,0.8781118,Kuhanga,2194,1,4,Rendah
619,123.5342401,0.8901131,Minanga,2733,2,4,Tinggi
620,123.2324598,0.7244381,Mome,2681,1,2,Sedang
621,123.5447689,0.8808049,Padang,2649,2,3,Tinggi
622,123.5033082,0.8630317,Padang Barat,2775,2,3,Tinggi
623,123.5125886,0.8650231,Pimpi,2846,1,3,Tinggi
624,123.5384006,0.8841129,Talaga,2559,2,4,Tinggi
625,123.5403428,0.8777283,Vahuta,1998,1,2,Rendah
626,123.5291001,0.8836799,Voa’a,2679,1,3,Tinggi
627,123.7027682,0.8577776,Apeng Sembaka,1882,2,2,Rendah
628,123.60204,0.8737545,Busisingo,3195,3,4,Tinggi
629,123.5788617,0.8975299,Busisingo Utara,2937,3,3,Tinggi
630,123.596064,0.8983179,Mokusato,3117,2,4,Tinggi
631,123.0679893,0.8807598,Monompia,2974,1,3,Tinggi
632,123.563682,0.8426913,Pangkusa,2633,2,3,Tinggi
633,123.6264601,0.8687211,Sampiro,2771,4,3,Tinggi
634,123.5334105,0.8477859,Sangtombolang,2397,8,2,Sedang
635,123.5816367,0.8724071,Sangkub I,2669,3,3,Tinggi
